"date";"co2ppm"
1974-05-19;333,37
1974-05-26;332,95
1974-06-02;332,35
1974-06-09;332,2
1974-06-16;332,37
1974-06-23;331,73
1974-06-30;331,68
1974-07-07;331,46
1974-07-14;330,83
1974-07-21;330,76
1974-07-28;329,8
1974-08-04;329,85
1974-08-11;329,15
1974-08-18;329,06
1974-08-25;328,33
1974-09-01;328,06
1974-09-08;327,56
1974-09-15;326,72
1974-09-22;326,99
1974-09-29;327,31
1974-10-06;327,07
1974-10-13;327,23
1974-10-20;327,4
1974-10-27;327,64
1974-11-03;327,8
1974-11-10;328,5
1974-11-17;328,61
1974-11-24;328,46
1974-12-01;328,8
1974-12-08;329,39
1974-12-15;329,78
1974-12-22;329,96
1974-12-29;330,38
1975-01-05;330,49
1975-01-12;330,59
1975-01-19;330,79
1975-01-26;331,24
1975-02-02;331,64
1975-02-09;331,11
1975-02-16;331,42
1975-02-23;331,96
1975-03-02;331,77
1975-03-09;331,64
1975-03-16;332,11
1975-03-23;331,9
1975-03-30;333,3
1975-04-06;332,78
1975-04-13;333,16
1975-04-20;333,28
1975-04-27;333,48
1975-05-04;333,94
1975-05-11;334,25
1975-05-18;333,46
1975-05-25;334
1975-06-01;333,96
1975-06-08;333,19
1975-06-15;333,23
1975-06-22;333,5
1975-06-29;333,01
1975-07-06;332,32
1975-07-13;331,83
1975-07-20;331,36
1975-07-27;331,22
1975-08-03;331,01
1975-08-10;330,38
1975-08-17;329,48
1975-08-24;328,73
1975-08-31;329,32
1975-09-07;329,42
1975-09-14;327,94
1975-09-21;327,95
1975-09-28;327,97
1975-10-05;NA
1975-10-12;328,4
1975-10-19;328,73
1975-10-26;328,8
1975-11-02;329,03
1975-11-09;329,01
1975-11-16;329,21
1975-11-23;330,18
1975-11-30;329,72
1975-12-07;NA
1975-12-14;NA
1975-12-21;NA
1975-12-28;NA
1976-01-04;331,33
1976-01-11;331,53
1976-01-18;331,66
1976-01-25;331,88
1976-02-01;332,45
1976-02-08;332,51
1976-02-15;332,61
1976-02-22;333,49
1976-02-29;332,43
1976-03-07;332,88
1976-03-14;333,56
1976-03-21;334,33
1976-03-28;334,56
1976-04-04;335,06
1976-04-11;333,01
1976-04-18;334,7
1976-04-25;335,06
1976-05-02;334,17
1976-05-09;334,32
1976-05-16;335,29
1976-05-23;335,28
1976-05-30;334,43
1976-06-06;334,21
1976-06-13;334,17
1976-06-20;334,04
1976-06-27;NA
1976-07-04;333,6
1976-07-11;333,48
1976-07-18;332,43
1976-07-25;332,24
1976-08-01;331,69
1976-08-08;330,7
1976-08-15;330,44
1976-08-22;330,23
1976-08-29;330,43
1976-09-05;329,54
