"date";"co2ppm"
1976-09-12;329,54
1976-09-19;328,61
1976-09-26;327,65
1976-10-03;328,54
1976-10-10;328,55
1976-10-17;329,28
1976-10-24;328,82
1976-10-31;329,4
1976-11-07;330,44
1976-11-14;330,17
1976-11-21;330,55
1976-11-28;330,68
1976-12-05;331,19
1976-12-12;332,39
1976-12-19;331,7
1976-12-26;332,38
1977-01-02;332,39
1977-01-09;332,49
1977-01-16;332,88
1977-01-23;333,02
1977-01-30;332,98
1977-02-06;333,23
1977-02-13;333,15
1977-02-20;333,18
1977-02-27;334,35
1977-03-06;334,3
1977-03-13;335,19
1977-03-20;335,32
1977-03-27;335,17
1977-04-03;336,01
1977-04-10;335,85
1977-04-17;336,31
1977-04-24;336,59
1977-05-01;337
1977-05-08;336,58
1977-05-15;337,1
1977-05-22;336,99
1977-05-29;336,63
1977-06-05;336,2
1977-06-12;336,01
1977-06-19;336,34
1977-06-26;335,74
1977-07-03;335,46
1977-07-10;335,24
1977-07-17;334,6
1977-07-24;334,1
1977-07-31;333,42
1977-08-07;332,54
1977-08-14;332,84
1977-08-21;331,82
1977-08-28;332,25
1977-09-04;331,18
1977-09-11;331,48
1977-09-18;330,92
1977-09-25;330,93
1977-10-02;330,94
1977-10-09;331,54
1977-10-16;331,27
1977-10-23;331,37
1977-10-30;331,88
1977-11-06;332,08
1977-11-13;332,53
1977-11-20;333,11
1977-11-27;332,65
1977-12-04;333,34
1977-12-11;333,4
1977-12-18;334,03
1977-12-25;333,97
1978-01-01;334,66
1978-01-08;334,56
1978-01-15;334,94
1978-01-22;335,68
1978-01-29;335,22
1978-02-05;334,74
1978-02-12;335,3
1978-02-19;335,5
1978-02-26;335,95
1978-03-05;336,06
1978-03-12;336,73
1978-03-19;336,91
1978-03-26;337,29
1978-04-02;337,33
1978-04-09;338
1978-04-16;337,62
1978-04-23;337,87
1978-04-30;338,27
1978-05-07;338,02
1978-05-14;337,89
1978-05-21;337,79
1978-05-28;338,44
1978-06-04;338,46
1978-06-11;338,12
1978-06-18;337,62
1978-06-25;337,47
1978-07-02;336,69
1978-07-09;336,79
1978-07-16;336,34
1978-07-23;335,86
1978-07-30;335,42
1978-08-06;334,66
1978-08-13;334,69
1978-08-20;334,2
1978-08-27;333,78
1978-09-03;332,82
1978-09-10;331,85
1978-09-17;331,75
1978-09-24;332,79
1978-10-01;332,22
1978-10-08;331,91
1978-10-15;332,67
1978-10-22;332,8
1978-10-29;333,22
1978-11-05;333,57
1978-11-12;333,61
1978-11-19;334,12
1978-11-26;334,15
1978-12-03;334,46
1978-12-10;334,96
1978-12-17;335,26
1978-12-24;335,07
1978-12-31;335,2
1979-01-07;335,48
1979-01-14;336,64
1979-01-21;336,93
1979-01-28;337,02
1979-02-04;336,6
1979-02-11;336,52
1979-02-18;336,78
1979-02-25;336,9
1979-03-04;337,93
1979-03-11;338,1
1979-03-18;338,65
1979-03-25;338,97
1979-04-01;337,9
1979-04-08;338,76
1979-04-15;338,76
1979-04-22;339,38
1979-04-29;339,52
1979-05-06;338,61
1979-05-13;339,19
1979-05-20;339,4
1979-05-27;339,67
1979-06-03;339,74
1979-06-10;339,01
1979-06-17;339,15
1979-06-24;338,93
1979-07-01;338,14
1979-07-08;337,7
1979-07-15;337,91
1979-07-22;336,67
1979-07-29;336,85
1979-08-05;336,35
1979-08-12;336,17
1979-08-19;334,81
1979-08-26;334,99
1979-09-02;333,74
1979-09-09;334,4
1979-09-16;333,61
1979-09-23;333,61
1979-09-30;334,11
1979-10-07;334,52
1979-10-14;334,09
1979-10-21;334,35
1979-10-28;334,54
1979-11-04;334,8
1979-11-11;335,36
1979-11-18;335,79
1979-11-25;335,88
1979-12-02;336,4
1979-12-09;336,72
1979-12-16;337,01
1979-12-23;337,2
1979-12-30;337,53
1980-01-06;337,4
1980-01-13;337,71
1980-01-20;338,65
1980-01-27;337,89
1980-02-03;338,47
1980-02-10;338,19
1980-02-17;338,35
1980-02-24;338,91
1980-03-02;339,43
1980-03-09;339,83
1980-03-16;339,66
1980-03-23;340,84
1980-03-30;340,63
1980-04-06;340,81
1980-04-13;340,98
1980-04-20;341,14
1980-04-27;341,35
1980-05-04;341,39
1980-05-11;341,71
1980-05-18;341,34
1980-05-25;341,32
1980-06-01;341,64
1980-06-08;341,62
1980-06-15;341,5
1980-06-22;340,76
1980-06-29;340,49
1980-07-06;339,95
1980-07-13;339,3
1980-07-20;338,77
1980-07-27;338,81
1980-08-03;336,78
1980-08-10;337,99
1980-08-17;338,36
1980-08-24;337,21
1980-08-31;336,9
1980-09-07;335,96
1980-09-14;336,43
1980-09-21;335,71
1980-09-28;335,77
1980-10-05;335,72
1980-10-12;336,11
1980-10-19;336,51
1980-10-26;336,69
1980-11-02;336,9
1980-11-09;337,49
1980-11-16;337,22
1980-11-23;337,65
1980-11-30;337,8
1980-12-07;338,09
1980-12-14;338,52
1980-12-21;338,39
1980-12-28;338,61
1981-01-04;339,12
1981-01-11;339,25
1981-01-18;339,55
1981-01-25;339,67
1981-02-01;339,89
1981-02-08;340,7
1981-02-15;340,18
1981-02-22;341,34
1981-03-01;341,23
1981-03-08;340,97
1981-03-15;341,61
1981-03-22;342,49
1981-03-29;342,29
1981-04-05;342,62
1981-04-12;342,96
1981-04-19;342,54
1981-04-26;342,68
1981-05-03;343,07
1981-05-10;343,05
1981-05-17;342,95
1981-05-24;343
1981-05-31;342,87
1981-06-07;342,83
1981-06-14;342,41
1981-06-21;342,18
1981-06-28;341,72
1981-07-05;341,3
1981-07-12;340,54
1981-07-19;340,72
1981-07-26;340,21
1981-08-02;339,32
1981-08-09;339
1981-08-16;338,42
1981-08-23;337,19
1981-08-30;337,6
1981-09-06;337,1
1981-09-13;336,92
1981-09-20;336,84
1981-09-27;336,14
1981-10-04;336,64
1981-10-11;337,08
1981-10-18;337,22
1981-10-25;337,63
1981-11-01;338,13
1981-11-08;338,29
1981-11-15;338,45
1981-11-22;339,23
1981-11-29;339,72
1981-12-06;339,7
1981-12-13;339,78
1981-12-20;340,03
1981-12-27;340,42
1982-01-03;340,57
1982-01-10;340,75
1982-01-17;340,79
1982-01-24;341,63
1982-01-31;341,75
1982-02-07;341,57
1982-02-14;341,6
1982-02-21;341,95
1982-02-28;342,69
1982-03-07;342,46
1982-03-14;342,71
1982-03-21;NA
1982-03-28;342,83
1982-04-04;343,38
1982-04-11;NA
1982-04-18;NA
1982-04-25;345,11
1982-05-02;344,38
1982-05-09;344,91
1982-05-16;344,78
1982-05-23;344,97
1982-05-30;344,23
1982-06-06;344,07
1982-06-13;344,18
1982-06-20;343,51
1982-06-27;343,34
1982-07-04;343,02
1982-07-11;342,35
1982-07-18;342,19
1982-07-25;341,86
1982-08-01;341,16
1982-08-08;340,7
1982-08-15;340,58
1982-08-22;339,46
1982-08-29;338,97
1982-09-05;338,83
1982-09-12;339,09
1982-09-19;337,35
1982-09-26;337,62
1982-10-03;338,02
1982-10-10;338,06
1982-10-17;338,31
1982-10-24;339,3
1982-10-31;338,9
1982-11-07;339,13
1982-11-14;339,43
1982-11-21;340,17
1982-11-28;339,7
1982-12-05;340,44
1982-12-12;340,69
1982-12-19;341,24
1982-12-26;341,31
1983-01-02;341,58
1983-01-09;342,07
1983-01-16;341,32
1983-01-23;341,62
1983-01-30;341,97
1983-02-06;342,66
1983-02-13;342,94
1983-02-20;342,91
1983-02-27;342,59
1983-03-06;342,51
1983-03-13;343,61
1983-03-20;345,18
1983-03-27;343,92
1983-04-03;344,89
1983-04-10;345,2
1983-04-17;345,72
1983-04-24;345,93
1983-05-01;345,78
1983-05-08;346,05
1983-05-15;346,43
1983-05-22;346,18
1983-05-29;346,06
1983-06-05;346,23
1983-06-12;345,85
1983-06-19;345,52
1983-06-26;345,12
1983-07-03;345,17
1983-07-10;344,12
1983-07-17;344,27
1983-07-24;343,72
1983-07-31;343,1
1983-08-07;NA
1983-08-14;342,33
1983-08-21;342,05
1983-08-28;340,98
1983-09-04;340,47
1983-09-11;340,37
1983-09-18;340,43
1983-09-25;340,47
1983-10-02;340,13
1983-10-09;340,34
1983-10-16;340,96
1983-10-23;340,82
1983-10-30;341,21
1983-11-06;341,51
1983-11-13;341,8
1983-11-20;342,05
1983-11-27;342,43
1983-12-04;342,61
1983-12-11;342,97
1983-12-18;343,54
1983-12-25;343,76
1984-01-01;344,19
1984-01-08;343,89
1984-01-15;344,09
1984-01-22;344,49
1984-01-29;344,71
1984-02-05;344,99
1984-02-12;344,78
1984-02-19;345,12
1984-02-26;345,05
1984-03-04;345,36
1984-03-11;345,67
1984-03-18;345,86
1984-03-25;345,91
1984-04-01;NA
1984-04-08;NA
1984-04-15;NA
1984-04-22;NA
1984-04-29;347,76
1984-05-06;347,27
1984-05-13;348,04
1984-05-20;347,7
1984-05-27;347,67
1984-06-03;347,31
1984-06-10;347,56
1984-06-17;347,11
1984-06-24;346,67
1984-07-01;346,46
1984-07-08;346,31
1984-07-15;345,75
1984-07-22;345,09
1984-07-29;344,97
1984-08-05;344,53
1984-08-12;344,37
1984-08-19;343,24
1984-08-26;342,32
1984-09-02;341,07
1984-09-09;341,29
1984-09-16;342,07
1984-09-23;341,43
1984-09-30;341,95
1984-10-07;341,55
1984-10-14;342,19
1984-10-21;342,12
1984-10-28;342,26
1984-11-04;342,82
1984-11-11;343,32
1984-11-18;343,69
1984-11-25;343,71
1984-12-02;344,24
1984-12-09;344,85
1984-12-16;345,09
1984-12-23;345,78
1984-12-30;345,64
1985-01-06;345,57
1985-01-13;345,36
1985-01-20;345,35
1985-01-27;345,83
1985-02-03;346,16
1985-02-10;346
1985-02-17;346,74
1985-02-24;346,94
1985-03-03;347,48
1985-03-10;347,84
1985-03-17;348,19
1985-03-24;348,08
1985-03-31;348,56
1985-04-07;348,52
1985-04-14;348,17
1985-04-21;349,11
1985-04-28;349,21
1985-05-05;349,54
1985-05-12;349,39
1985-05-19;349,32
1985-05-26;348,92
1985-06-02;349,09
1985-06-09;349,02
1985-06-16;348,59
1985-06-23;348,03
1985-06-30;347,45
1985-07-07;347,31
1985-07-14;347,07
1985-07-21;346,67
1985-07-28;345,96
1985-08-04;345,51
1985-08-11;344,35
1985-08-18;344,79
1985-08-25;344,94
1985-09-01;344,33
1985-09-08;343,79
1985-09-15;343,54
1985-09-22;342,48
1985-09-29;342,48
1985-10-06;343,07
1985-10-13;343,17
1985-10-20;343,83
1985-10-27;343,97
1985-11-03;343,97
1985-11-10;344,57
1985-11-17;345,05
1985-11-24;345,58
1985-12-01;345,53
1985-12-08;346,07
1985-12-15;346,12
1985-12-22;346,28
1985-12-29;346,93
1986-01-05;346,81
1986-01-12;346,66
1986-01-19;346,98
1986-01-26;346,71
1986-02-02;347,15
1986-02-09;347,43
1986-02-16;347,79
1986-02-23;347,62
1986-03-02;347,19
1986-03-09;347,28
1986-03-16;348,08
1986-03-23;349,54
1986-03-30;349,06
1986-04-06;349,72
1986-04-13;349,85
1986-04-20;350,16
1986-04-27;350,77
1986-05-04;350,49
1986-05-11;350,71
1986-05-18;350,7
1986-05-25;350,16
1986-06-01;350,38
1986-06-08;350,34
1986-06-15;350,12
1986-06-22;349,6
1986-06-29;349,14
1986-07-06;348,89
1986-07-13;347,71
1986-07-20;347,95
1986-07-27;347,82
1986-08-03;346,81
1986-08-10;346,28
1986-08-17;345,76
1986-08-24;345,74
1986-08-31;345,33
1986-09-07;345,74
1986-09-14;346,07
1986-09-21;344,75
1986-09-28;345,16
1986-10-05;344,46
1986-10-12;344,67
1986-10-19;344,75
1986-10-26;345,55
1986-11-02;345,75
1986-11-09;346,27
1986-11-16;346,22
1986-11-23;346,55
1986-11-30;347,38
1986-12-07;347,32
1986-12-14;347,36
1986-12-21;347,49
1986-12-28;347,84
1987-01-04;348,3
1987-01-11;349,04
1987-01-18;348,82
1987-01-25;348,81
1987-02-01;348,65
1987-02-08;348,42
1987-02-15;349,13
1987-02-22;349,61
1987-03-01;349,2
1987-03-08;349,37
1987-03-15;350,11
1987-03-22;350,49
1987-03-29;351,19
1987-04-05;350,84
1987-04-12;351,17
1987-04-19;351,72
1987-04-26;351,81
1987-05-03;352,21
1987-05-10;352,13
1987-05-17;352,11
1987-05-24;352,29
1987-05-31;352,2
1987-06-07;351,8
1987-06-14;351,42
1987-06-21;351,32
1987-06-28;350,67
1987-07-05;350,84
1987-07-12;349,79
1987-07-19;350,23
1987-07-26;349,77
1987-08-02;348
1987-08-09;348,87
1987-08-16;348,36
1987-08-23;347,92
1987-08-30;346,95
1987-09-06;346,7
1987-09-13;346,96
1987-09-20;345,9
1987-09-27;346,36
1987-10-04;346,5
1987-10-11;346,7
1987-10-18;347,1
1987-10-25;347,03
1987-11-01;347,46
1987-11-08;347,64
1987-11-15;348,19
1987-11-22;348,84
1987-11-29;348,88
1987-12-06;348,86
1987-12-13;349,36
1987-12-20;349,5
1987-12-27;349,89
1988-01-03;350,26
1988-01-10;350,41
1988-01-17;350,67
1988-01-24;350,83
1988-01-31;351,79
1988-02-07;351,22
1988-02-14;351,28
1988-02-21;352,23
1988-02-28;353,15
1988-03-06;352,51
1988-03-13;352,06
1988-03-20;351,84
1988-03-27;353,04
1988-04-03;353,31
1988-04-10;353,44
1988-04-17;353,62
1988-04-24;354,54
1988-05-01;354,06
1988-05-08;354,33
1988-05-15;354,32
1988-05-22;354,8
1988-05-29;354,08
1988-06-05;354,43
1988-06-12;353,86
1988-06-19;353,46
1988-06-26;353,43
1988-07-03;352,95
1988-07-10;353,11
1988-07-17;353,02
1988-07-24;352,1
1988-07-31;350,98
1988-08-07;350,91
1988-08-14;350,23
1988-08-21;350,26
1988-08-28;349,61
1988-09-04;348,92
1988-09-11;349,2
1988-09-18;348,9
1988-09-25;348,85
1988-10-02;349,2
1988-10-09;348,95
1988-10-16;349,54
1988-10-23;349,69
1988-10-30;350,01
1988-11-06;350,1
1988-11-13;350,38
1988-11-20;350,78
1988-11-27;350,83
1988-12-04;351,11
1988-12-11;351,65
1988-12-18;351,78
1988-12-25;352,27
1989-01-01;352,67
1989-01-08;353,29
1989-01-15;353,17
1989-01-22;352,82
1989-01-29;353,47
1989-02-05;352,96
1989-02-12;353,48
1989-02-19;353,76
1989-02-26;353,91
1989-03-05;353,77
1989-03-12;353,71
1989-03-19;354,19
1989-03-26;354,85
1989-04-02;354,81
1989-04-09;355,51
1989-04-16;356,15
1989-04-23;356,39
1989-04-30;355,83
1989-05-07;355,67
1989-05-14;356,18
1989-05-21;356,06
1989-05-28;356,21
1989-06-04;355,64
1989-06-11;355,53
1989-06-18;355,05
1989-06-25;355,08
1989-07-02;354,77
1989-07-09;354,48
1989-07-16;353,62
1989-07-23;353,33
1989-07-30;353,3
1989-08-06;352,69
1989-08-13;352,01
1989-08-20;350,74
1989-08-27;350,8
1989-09-03;351,03
1989-09-10;349,44
1989-09-17;349,63
1989-09-24;349,98
1989-10-01;350,49
1989-10-08;349,94
1989-10-15;350,41
1989-10-22;350,78
1989-10-29;350,52
1989-11-05;351,39
1989-11-12;351,71
1989-11-19;351,9
1989-11-26;352,11
1989-12-03;352,36
1989-12-10;353,14
1989-12-17;352,95
1989-12-24;353,03
1989-12-31;353,72
1990-01-07;353,58
1990-01-14;353,99
1990-01-21;353,92
1990-01-28;354,39
1990-02-04;355,04
1990-02-11;355,09
1990-02-18;355,42
1990-02-25;355,18
1990-03-04;355,59
1990-03-11;355,79
1990-03-18;355,54
1990-03-25;356,13
1990-04-01;356,27
1990-04-08;356,17
1990-04-15;356,23
1990-04-22;356,87
1990-04-29;356,96
1990-05-06;357,7
1990-05-13;357,25
1990-05-20;357,33
1990-05-27;357,38
1990-06-03;356,98
1990-06-10;356,25
1990-06-17;356,18
1990-06-24;355,79
1990-07-01;356,22
1990-07-08;354,99
1990-07-15;354,29
1990-07-22;354,37
1990-07-29;353,99
1990-08-05;353,17
1990-08-12;353,46
1990-08-19;353,08
1990-08-26;351,8
1990-09-02;351,16
1990-09-09;350,86
1990-09-16;351,75
1990-09-23;351,46
1990-09-30;351,4
1990-10-07;351,54
1990-10-14;351,57
1990-10-21;351,73
1990-10-28;352,4
1990-11-04;352,71
1990-11-11;353,15
1990-11-18;353,45
1990-11-25;353,69
1990-12-02;353,9
1990-12-09;354,47
1990-12-16;354,34
1990-12-23;354,83
1990-12-30;354,8
1991-01-06;354,59
1991-01-13;355,02
1991-01-20;354,94
1991-01-27;355,6
1991-02-03;355,33
1991-02-10;355,89
1991-02-17;356,55
1991-02-24;355,84
1991-03-03;357,19
1991-03-10;357,77
1991-03-17;357,27
1991-03-24;357,49
1991-03-31;358,46
1991-04-07;358,07
1991-04-14;358,75
1991-04-21;359,36
1991-04-28;359,29
1991-05-05;358,97
1991-05-12;359,45
1991-05-19;359,76
1991-05-26;358,84
1991-06-02;358,38
1991-06-09;358,55
1991-06-16;358,17
1991-06-23;357,9
1991-06-30;357,32
1991-07-07;356,77
1991-07-14;356,23
1991-07-21;355,26
1991-07-28;355,55
1991-08-04;354,59
1991-08-11;354,4
1991-08-18;353,22
1991-08-25;353,1
1991-09-01;353,13
1991-09-08;352,6
1991-09-15;351,95
1991-09-22;351,96
1991-09-29;351,73
1991-10-06;352,14
1991-10-13;352,6
1991-10-20;352,77
1991-10-27;353,02
1991-11-03;353,84
1991-11-10;353,8
1991-11-17;353,92
1991-11-24;354,19
1991-12-01;354,66
1991-12-08;354,99
1991-12-15;355,23
1991-12-22;355,59
1991-12-29;356,55
1992-01-05;356,2
1992-01-12;356,34
1992-01-19;356,39
1992-01-26;356,18
1992-02-02;356,98
1992-02-09;357,23
1992-02-16;357,39
1992-02-23;357,36
1992-03-01;356,72
1992-03-08;357,98
1992-03-15;358,41
1992-03-22;358,88
1992-03-29;358,08
1992-04-05;359,27
1992-04-12;359,27
1992-04-19;359,77
1992-04-26;359,39
1992-05-03;359,81
1992-05-10;359,06
1992-05-17;359,26
1992-05-24;360,52
1992-05-31;360,57
1992-06-07;359,87
1992-06-14;358,98
1992-06-21;358,75
1992-06-28;358,87
1992-07-05;357,78
1992-07-12;357,03
1992-07-19;356,62
1992-07-26;355,71
1992-08-02;355,23
1992-08-09;355,73
1992-08-16;355,44
1992-08-23;354,44
1992-08-30;353
1992-09-06;354,18
1992-09-13;352,96
1992-09-20;352,49
1992-09-27;352,94
1992-10-04;353,32
1992-10-11;353,67
1992-10-18;353,28
1992-10-25;353,26
1992-11-01;354,35
1992-11-08;354,04
1992-11-15;354,25
1992-11-22;354,82
1992-11-29;354,94
1992-12-06;355,39
1992-12-13;355,55
1992-12-20;356,11
1992-12-27;356,4
1993-01-03;357,05
1993-01-10;357,32
1993-01-17;356,96
1993-01-24;357,15
1993-01-31;357,38
1993-02-07;357,09
1993-02-14;357,27
1993-02-21;357,9
1993-02-28;358,68
1993-03-07;358,43
1993-03-14;358,79
1993-03-21;357,95
1993-03-28;359,31
1993-04-04;358,95
1993-04-11;359,22
1993-04-18;359,74
1993-04-25;359,87
1993-05-02;359,59
1993-05-09;360,23
1993-05-16;360,67
1993-05-23;360,87
1993-05-30;360,11
1993-06-06;359,89
1993-06-13;359,77
1993-06-20;359,3
1993-06-27;358,81
1993-07-04;357,84
1993-07-11;357,84
1993-07-18;357,22
1993-07-25;356,65
1993-08-01;356,55
1993-08-08;355,89
1993-08-15;355,52
1993-08-22;354,94
1993-08-29;354,91
1993-09-05;354,29
1993-09-12;353,95
1993-09-19;354,1
1993-09-26;354,27
1993-10-03;354,17
1993-10-10;353,99
1993-10-17;354,46
1993-10-24;354,45
1993-10-31;354,74
1993-11-07;355,12
1993-11-14;355,73
1993-11-21;356,1
1993-11-28;356,25
1993-12-05;356,64
1993-12-12;356,72
1993-12-19;357,64
1993-12-26;357,59
1994-01-02;358,23
1994-01-09;358,24
1994-01-16;358,52
1994-01-23;358,36
1994-01-30;358,39
1994-02-06;359,04
1994-02-13;358,76
1994-02-20;359,52
1994-02-27;359
1994-03-06;359,46
1994-03-13;360,59
1994-03-20;360,73
1994-03-27;360,94
1994-04-03;361,22
1994-04-10;361,14
1994-04-17;361,43
1994-04-24;361,95
1994-05-01;362,12
1994-05-08;361,51
1994-05-15;361,83
1994-05-22;361,64
1994-05-29;361,54
1994-06-05;361,02
1994-06-12;361,03
1994-06-19;360,95
1994-06-26;360,16
1994-07-03;360,09
1994-07-10;359,77
1994-07-17;359,34
1994-07-24;358,96
1994-07-31;358,6
1994-08-07;358,01
1994-08-14;357,82
1994-08-21;356,99
1994-08-28;356,32
1994-09-04;356,61
1994-09-11;355,39
1994-09-18;355,81
1994-09-25;355,48
1994-10-02;355,83
1994-10-09;355,99
1994-10-16;356,27
1994-10-23;356,69
1994-10-30;356,81
1994-11-06;357,1
1994-11-13;358,27
1994-11-20;357,77
1994-11-27;358,19
1994-12-04;358,86
1994-12-11;359,5
1994-12-18;358,94
1994-12-25;359,47
1995-01-01;359,82
1995-01-08;359,66
1995-01-15;360,49
1995-01-22;360,15
1995-01-29;360,27
1995-02-05;360,88
1995-02-12;361,18
1995-02-19;361,16
1995-02-26;361,82
1995-03-05;361,92
1995-03-12;361,25
1995-03-19;361,91
1995-03-26;362,99
1995-04-02;363,9
1995-04-09;362,96
1995-04-16;363,16
1995-04-23;363,63
1995-04-30;362,96
1995-05-07;364
1995-05-14;364,55
1995-05-21;363,82
1995-05-28;363,83
1995-06-04;363,93
1995-06-11;363,19
1995-06-18;363,05
1995-06-25;362,57
1995-07-02;362,45
1995-07-09;362,24
1995-07-16;361,57
1995-07-23;361,12
1995-07-30;360,28
1995-08-06;359,9
1995-08-13;358,89
1995-08-20;358,79
1995-08-27;358,26
1995-09-03;358,46
1995-09-10;358,73
1995-09-17;358,91
1995-09-24;357,76
1995-10-01;357,95
1995-10-08;357,87
1995-10-15;358,14
1995-10-22;358,37
1995-10-29;358,99
1995-11-05;359,23
1995-11-12;359,71
1995-11-19;359,94
1995-11-26;359,97
1995-12-03;360,36
1995-12-10;360,69
1995-12-17;360,77
1995-12-24;361,54
1995-12-31;361,98
1996-01-07;362,33
1996-01-14;362,04
1996-01-21;362,33
1996-01-28;362,54
1996-02-04;363,04
1996-02-11;363,15
1996-02-18;363,69
1996-02-25;364,06
1996-03-03;364,1
1996-03-10;363,82
1996-03-17;364,58
1996-03-24;364,61
1996-03-31;364,38
1996-04-07;364,73
1996-04-14;364,83
1996-04-21;364,65
1996-04-28;365,15
1996-05-05;364,82
1996-05-12;365,6
1996-05-19;365,4
1996-05-26;365,17
1996-06-02;365,1
1996-06-09;365,42
1996-06-16;365,21
1996-06-23;364,64
1996-06-30;364,56
1996-07-07;363,95
1996-07-14;363,64
1996-07-21;363,26
1996-07-28;362,25
1996-08-04;362,16
1996-08-11;361,92
1996-08-18;361,15
1996-08-25;361,01
1996-09-01;360,23
1996-09-08;360,08
1996-09-15;359,15
1996-09-22;359,37
1996-09-29;359,43
1996-10-06;359,58
1996-10-13;359,9
1996-10-20;359,66
1996-10-27;360,13
1996-11-03;360,42
1996-11-10;361
1996-11-17;361,52
1996-11-24;361,4
1996-12-01;361,78
1996-12-08;362,38
1996-12-15;362,63
1996-12-22;362,47
1996-12-29;362,92
1997-01-05;363,11
1997-01-12;363,12
1997-01-19;363,65
1997-01-26;363,34
1997-02-02;363,69
1997-02-09;364,43
1997-02-16;363,78
1997-02-23;364,96
1997-03-02;364,01
1997-03-09;364,3
1997-03-16;364,77
1997-03-23;365,33
1997-03-30;365,88
1997-04-06;366,1
1997-04-13;366,63
1997-04-20;366,84
1997-04-27;366,75
1997-05-04;366,6
1997-05-11;366,96
1997-05-18;367,15
1997-05-25;366,36
1997-06-01;366,21
1997-06-08;365,89
1997-06-15;365,5
1997-06-22;365,36
1997-06-29;365,25
1997-07-06;364,93
1997-07-13;364,62
1997-07-20;363,76
1997-07-27;363,73
1997-08-03;363,33
1997-08-10;362,78
1997-08-17;361,33
1997-08-24;361,69
1997-08-31;361,59
1997-09-07;360,23
1997-09-14;360,48
1997-09-21;360,03
1997-09-28;360,14
1997-10-05;360,68
1997-10-12;360,87
1997-10-19;361,17
1997-10-26;361,45
1997-11-02;362,21
1997-11-09;362,29
1997-11-16;362,68
1997-11-23;363,42
1997-11-30;364,11
1997-12-07;364,19
1997-12-14;364,45
1997-12-21;364,87
1997-12-28;365,15
1998-01-04;365,43
1998-01-11;365,43
1998-01-18;365,22
1998-01-25;365,5
1998-02-01;366,09
1998-02-08;365,74
1998-02-15;365,8
1998-02-22;366,79
1998-03-01;367,24
1998-03-08;366,79
1998-03-15;366,96
1998-03-22;367,9
1998-03-29;368,95
1998-04-05;368,47
1998-04-12;368,61
1998-04-19;368,48
1998-04-26;369,69
1998-05-03;369,86
1998-05-10;368,45
1998-05-17;369,72
1998-05-24;370,08
1998-05-31;369,74
1998-06-07;369,27
1998-06-14;368,94
1998-06-21;368,91
1998-06-28;368,34
1998-07-05;368,58
1998-07-12;367,89
1998-07-19;368,06
1998-07-26;367,25
1998-08-02;367,05
1998-08-09;366,38
1998-08-16;365,69
1998-08-23;365,49
1998-08-30;364,89
1998-09-06;364,45
1998-09-13;363,79
1998-09-20;363,65
1998-09-27;364,19
1998-10-04;364,24
